Linux 7.0.0-22-generic (ms-a2-gateway) 	06/07/26 	_x86_64_	(32 CPU)

17:23:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:56      30    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:23:56      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:23:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:57     all    0.48    0.00    3.45    0.00    0.00    0.87    0.00    0.00    0.00   95.19
17:23:57       0    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
17:23:57       1    2.02    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   87.88
17:23:57       2    1.02    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   84.69
17:23:57       3    1.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
17:23:57       4    3.03    0.00   16.16    0.00    0.00    1.01    0.00    0.00    0.00   79.80
17:23:57       5    1.01    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   91.92
17:23:57       6    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
17:23:57       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:23:57       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:23:57      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      16    4.21    0.00   31.58    0.00    0.00    3.16    0.00    0.00    0.00   61.05
17:23:57      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      21    2.27    0.00   10.23    0.00    0.00   13.64    0.00    0.00    0.00   73.86
17:23:57      22    0.00    0.00    0.00    0.00    0.00    1.28    0.00    0.00    0.00   98.72
17:23:57      23    0.00    0.00    3.53    0.00    0.00    8.24    0.00    0.00    0.00   88.24
17:23:57      24    0.00    0.00    0.00    0.00    0.00    1.67    0.00    0.00    0.00   98.33
17:23:57      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:57      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:23:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:58     all    0.55    0.00    3.51    0.00    0.00    0.71    0.00    0.00    0.00   95.23
17:23:58       0    3.03    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   85.86
17:23:58       1    2.04    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   88.78
17:23:58       2    2.06    0.00   11.34    0.00    0.00    1.03    0.00    0.00    0.00   85.57
17:23:58       3    2.02    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   87.88
17:23:58       4    2.04    0.00   15.31    0.00    0.00    1.02    0.00    0.00    0.00   81.63
17:23:58       5    0.99    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   92.08
17:23:58       6    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
17:23:58       7    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
17:23:58       8    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:23:58       9    0.00    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   97.03
17:23:58      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      11    2.04    0.00   11.22    0.00    0.00    1.02    0.00    0.00    0.00   85.71
17:23:58      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      13    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
17:23:58      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      16    1.04    0.00   14.58    0.00    0.00    2.08    0.00    0.00    0.00   82.29
17:23:58      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      21    2.35    0.00   10.59    0.00    0.00    9.41    0.00    0.00    0.00   77.65
17:23:58      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      23    0.00    0.00    1.23    0.00    0.00    4.94    0.00    0.00    0.00   93.83
17:23:58      24    0.00    0.00    5.63    0.00    0.00    4.23    0.00    0.00    0.00   90.14
17:23:58      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:23:58      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:23:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:59     all    0.64    0.00    3.70    0.00    0.00    0.80    0.00    0.00    0.00   94.86
