driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8169,1500,udp,rx,default,75,3,1.8749946664373522,0,0,0.0064120135443454613,0.05,0.71,0.00,0.12,87750
r8169,9000,tcp,tx,default,100,1,2.4769156815788866,0,0,0,0.00,0.11,0.00,0.45,85500
r8169,9000,tcp,tx,default,100,2,2.476475038471696,0,0,0,0.00,0.28,0.00,0.74,86500
r8169,9000,tcp,tx,default,100,3,2.476794895031914,0,0,0,0.00,0.12,0.00,0.63,87375
r8169,9000,tcp,rx,default,100,1,2.472900317098691,0,0,0,0.00,0.09,0.00,0.39,88250
r8169,9000,tcp,rx,default,100,2,2.4728864626515357,0,0,0,0.00,0.08,0.00,0.37,88625
r8169,9000,tcp,rx,default,100,3,2.4728572922730736,0,0,0,0.05,0.11,0.00,0.39,88250
r8169,9000,tcp,bidir,default,100,1,4.917416573785925,0,0,0,0.00,1.10,0.00,0.82,87000
r8169,9000,tcp,bidir,default,100,2,4.9260755726121515,0,0,0,0.01,0.09,0.00,0.75,86500
r8169,9000,tcp,bidir,default,100,3,4.927585359407319,0,0,0,0.02,0.13,0.00,0.56,87500
r8169,9000,udp,rx,default,100,1,2.2904836811936824,0,0,0.0615525593054842,0.01,0.08,0.00,0.01,88625
r8169,9000,udp,rx,default,100,2,2.290668644938672,0,0,0.055323720481776563,0.08,0.70,0.00,0.01,88625
r8169,9000,udp,rx,default,100,3,2.289906508063763,0,0,0.061862302599054411,0.15,0.93,0.00,0.03,87500
r8169,9000,tcp,tx,gro-off,100,1,2.4769041198299626,0,0,0,0.00,0.01,0.00,0.54,86500
r8169,9000,tcp,tx,gro-off,100,2,2.4768624342015473,0,0,0,0.00,0.12,0.00,0.54,87125
r8169,9000,tcp,tx,gro-off,100,3,2.4765653813321498,0,0,0,0.01,0.04,0.00,0.54,88125
r8169,9000,tcp,rx,gro-off,100,1,2.47280485189811,0,0,0,0.01,0.13,0.00,0.62,88625
r8169,9000,tcp,rx,gro-off,100,2,2.4731426651450845,0,0,0,0.02,0.24,0.00,0.36,88125
r8169,9000,tcp,rx,gro-off,100,3,2.472702484164988,0,0,0,0.05,0.15,0.00,0.64,87500
r8169,9000,tcp,tx,tso-off,100,1,2.4769278173480225,0,0,0,0.00,0.01,0.00,0.53,86500
r8169,9000,tcp,tx,tso-off,100,2,2.4763024437985917,0,0,0,0.00,0.03,0.00,0.49,87000
r8169,9000,tcp,tx,tso-off,100,3,2.4767951426962957,0,0,0,0.01,0.11,0.00,0.48,88000
r8169,9000,tcp,rx,tso-off,100,1,2.472815732058848,0,0,0,0.00,0.08,0.00,0.35,88625
r8169,9000,tcp,rx,tso-off,100,2,2.473142166894555,0,0,0,0.00,0.09,0.00,0.40,88125
r8169,9000,tcp,rx,tso-off,100,3,2.472650050017939,0,0,0,0.06,0.10,0.00,0.46,87375
r8169,9000,tcp,tx,all-off,100,1,2.476861766213772,0,0,0,0.00,0.23,0.00,0.67,86500
r8169,9000,tcp,tx,all-off,100,2,2.476445074112554,0,0,0,0.00,0.90,0.00,0.95,87375
r8169,9000,tcp,tx,all-off,100,3,2.4763782141071533,0,0,0,0.01,0.02,0.00,0.57,88375
r8169,9000,tcp,rx,all-off,100,1,2.473168381058586,0,0,0,0.01,0.25,0.00,0.58,88625
r8169,9000,tcp,rx,all-off,100,2,2.4713023531978626,0,0,0,0.01,0.18,0.00,0.46,87750
r8169,9000,tcp,rx,all-off,100,3,2.4726940621589453,0,0,0,0.05,0.15,0.00,0.73,87250
r8169,9000,udp,rx,default,25,1,0.624997850205555,0,0,0.0018406955997288736,0.01,0.03,0.00,0.33,86500
r8169,9000,udp,rx,default,25,2,0.6249989751484756,0,0,0.0021737333771284146,0.01,0.03,0.00,0.14,87375
r8169,9000,udp,rx,default,25,3,0.6250019416396151,0,0,0.0015361542961560219,0.01,0.03,0.00,0.13,88250
r8169,9000,udp,rx,default,50,1,1.2499986334482394,0,0,0.0014922790250993974,0.00,0.05,0.00,0.23,88750
r8169,9000,udp,rx,default,50,2,1.2499935348988775,0,0,0.0015458837722937416,0.01,0.05,0.00,0.45,88125
r8169,9000,udp,rx,default,50,3,1.2499950841563987,0,0,0.0012284209059637619,0.06,0.08,0.00,0.27,87750
r8169,9000,udp,rx,default,75,1,1.8749967843382807,0,0,0.027165179919254923,0.01,0.11,0.00,0.53,86500
r8169,9000,udp,rx,default,75,2,1.874992693085284,0,0,0.027103113518862781,0.01,0.10,0.00,0.50,87250
r8169,9000,udp,rx,default,75,3,1.8749933427546899,0,0,0.026475767533099114,0.02,0.09,0.00,0.39,88375
