driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,9000,tcp,tx,tso-off,100,3,2.4767697909530417,0,0,0,0.00,0.16,0.00,0.54,88375
r8125_rust,9000,tcp,rx,tso-off,100,1,2.4728424564734435,0,0,0,0.07,0.22,0.00,0.75,89625
r8125_rust,9000,tcp,rx,tso-off,100,2,2.4731770368008243,0,0,0,0.01,0.18,0.00,0.75,87625
r8125_rust,9000,tcp,rx,tso-off,100,3,2.4730533889533466,0,0,0,0.02,0.22,0.00,0.79,86625
r8125_rust,9000,tcp,tx,all-off,100,1,2.4775372187268316,0,0,0,0.01,0.02,0.00,0.00,87250
r8125_rust,9000,tcp,tx,all-off,100,2,2.476332652320058,0,0,0,0.00,0.07,0.00,0.03,87875
r8125_rust,9000,tcp,tx,all-off,100,3,2.4769374765145713,0,0,0,0.00,0.08,0.00,0.07,88625
r8125_rust,9000,tcp,rx,all-off,100,1,2.473038303363342,0,0,0,0.06,0.22,0.00,1.09,89625
r8125_rust,9000,tcp,rx,all-off,100,2,2.473167639140642,0,0,0,0.01,0.19,0.00,1.13,87625
r8125_rust,9000,tcp,rx,all-off,100,3,2.4731782733403755,0,0,0,0.01,0.19,0.00,0.77,86500
r8125_rust,9000,udp,rx,default,25,1,0.6250016419353138,0,0,0.0014886403049152641,0.01,0.04,0.00,0.22,87000
r8125_rust,9000,udp,rx,default,25,2,0.625004670807652,0,0,0.0039002765770482038,0.00,0.03,0.00,0.15,87750
r8125_rust,9000,udp,rx,default,25,3,0.6250026084722804,0,0,0.0012939274752415055,0.00,0.03,0.00,0.15,88625
r8125_rust,9000,udp,rx,default,50,1,1.249993901117795,0,0,0.0077105940411164161,0.06,0.10,0.00,0.28,89625
r8125_rust,9000,udp,rx,default,50,2,1.2499983500491683,0,0,0.0077023058638901439,0.01,0.10,0.00,0.43,87750
