driver,mtu,proto,dir,offload,load_pct,run,gbps,retr,loss_pct,jitter_ms,cpu_usr,cpu_sys,cpu_soft,cpu_irq,temp_mC
r8125_rust,1500,udp,rx,default,50,1,1.2499975357976292,0,0,0.00585120302344208,0.03,0.23,0.00,0.79,86750
r8125_rust,1500,udp,rx,default,50,2,1.2499961027242532,0,0.037158496276273885,0.010915498077500833,0.03,0.13,0.00,0.53,86875
r8125_rust,1500,udp,rx,default,50,3,1.2499965478652453,0,0.0126031886067175,0.010406342786545369,0.03,0.27,0.00,0.74,87625
r8125_rust,1500,udp,rx,default,75,1,1.874994040349006,0,0.04756659787012836,0.0098390341811567753,0.05,0.33,0.00,1.17,88375
r8125_rust,1500,udp,rx,default,75,2,1.8749998211157242,0,0,0.005765011409269,0.11,0.53,0.00,0.88,88625
r8125_rust,1500,udp,rx,default,75,3,1.8749928800331432,0,0.038859879552907511,0.0056380955845190071,0.04,0.25,0.00,1.14,87125
r8125_rust,9000,tcp,tx,default,100,1,2.4766125306021722,0,0,0,0.00,0.31,0.00,0.53,85000
r8125_rust,9000,tcp,tx,default,100,2,2.4767983623377683,0,0,0,0.05,0.11,0.00,0.36,85500
r8125_rust,9000,tcp,tx,default,100,3,2.476817273249405,0,0,0,0.00,0.19,0.00,0.40,85875
r8125_rust,9000,tcp,rx,default,100,1,2.4726325130310682,0,0,0,0.01,0.18,0.00,0.67,86500
r8125_rust,9000,tcp,rx,default,100,2,2.4729742540603237,0,0,0,0.02,0.19,0.00,0.69,87250
r8125_rust,9000,tcp,rx,default,100,3,2.472560525981591,0,0,0,0.01,0.18,0.00,0.70,87750
r8125_rust,9000,tcp,bidir,default,100,1,4.925754619632233,0,0,0,0.01,0.30,0.00,1.04,88125
r8125_rust,9000,tcp,bidir,default,100,2,4.9244915640025,0,0,0,0.06,0.76,0.00,1.22,89125
r8125_rust,9000,tcp,bidir,default,100,3,4.924377872867522,0,0,0,0.01,0.61,0.00,1.21,87625
r8125_rust,9000,udp,rx,default,100,1,2.290679067021612,0,0.038746972892742752,0.0629759282479977,0.03,0.29,0.00,0.64,86375
r8125_rust,9000,udp,rx,default,100,2,2.290604167031223,0,0.038123570366111269,0.059458076505406118,0.02,0.13,0.00,0.48,86625
r8125_rust,9000,udp,rx,default,100,3,2.2888939074672283,0,0,0.055078833539834449,0.05,0.41,0.00,0.60,87250
r8125_rust,9000,tcp,tx,gro-off,100,1,2.4764762343477704,0,0,0,0.00,0.48,0.00,0.48,87875
